Var1,Var2
738936.618055556,3
738936.621527778,3
738936.625,3
738936.628472222,3
738936.631944444,3
738936.635416667,2
738936.638888889,2
738936.642361111,3
738936.645833333,3
738936.649305556,3
738936.652777778,3
738936.65625,3
738936.659722222,3
738936.663194444,3
738936.666666667,3
738936.670138889,3
738936.673611111,3
738936.677083333,3
738936.680555556,3
738936.684027778,3
738936.6875,1
738936.690972222,1
738936.694444444,1
738936.697916667,2
738936.701388889,1
738936.704861111,1
738936.708333333,1
738936.711805556,1
738936.715277778,3
738936.71875,3
738936.722222222,3
738936.725694444,0
738936.729166667,1
738936.732638889,1
738936.736111111,3
738936.739583333,3
738936.743055556,3
738936.746527778,3
738936.75,3
738936.753472222,3
738936.756944444,3
738936.760416667,3
738936.763888889,3
738936.767361111,3
738936.770833333,3
738936.774305556,3
738936.777777778,2
738936.78125,2
738936.784722222,2
738936.788194444,2
738936.791666667,2
738936.795138889,2
738936.798611111,2
738936.802083333,2
738936.805555556,2
738936.809027778,2
738936.8125,2
738936.815972222,2
738936.819444444,2
738936.822916667,2
738936.826388889,2
738936.829861111,2
738936.833333333,2
738936.836805556,1
738936.840277778,2
738936.84375,2
738936.847222222,2
738936.850694444,2
738936.854166667,2
738936.857638889,2
738936.861111111,2
738936.864583333,2
738936.868055556,2
738936.871527778,1
738936.875,1
738936.878472222,1
738936.881944444,2
738936.885416667,2
738936.888888889,2
738936.892361111,2
738936.895833333,1
738936.899305556,1
738936.902777778,1
738936.90625,1
738936.909722222,3
738936.913194444,3
738936.916666667,3
738936.920138889,3
738936.923611111,3
738936.927083333,3
738936.930555556,2
738936.934027778,2
738936.9375,2
738936.940972222,2
738936.944444444,2
738936.947916667,2
738936.951388889,2
738936.954861111,2
738936.958333333,2
738936.961805556,2
738936.965277778,2
738936.96875,2
738936.972222222,2
738936.975694444,2
738936.979166667,2
738936.982638889,2
738936.986111111,2
738936.989583333,2
738936.993055556,2
738936.996527778,2
738937,2
738937.003472222,2
738937.006944444,2
738937.010416667,2
738937.013888889,2
738937.017361111,2
738937.020833333,2
738937.024305556,2
738937.027777778,2
738937.03125,2
738937.034722222,2
738937.038194444,2
738937.041666667,2
738937.045138889,2
738937.048611111,2
738937.052083333,2
738937.055555556,2
738937.059027778,2
738937.0625,2
738937.065972222,2
738937.069444444,2
738937.072916667,2
738937.076388889,2
738937.079861111,2
738937.083333333,2
738937.086805556,2
738937.090277778,2
738937.09375,2
738937.097222222,2
738937.100694444,2
738937.104166667,1
738937.107638889,1
738937.111111111,1
738937.114583333,2
738937.118055556,2
738937.121527778,2
738937.125,1
738937.128472222,2
738937.131944444,2
738937.135416667,2
738937.138888889,2
738937.142361111,2
738937.145833333,2
738937.149305556,2
738937.152777778,2
738937.15625,2
738937.159722222,2
738937.163194444,2
738937.166666667,2
738937.170138889,2
738937.173611111,2
738937.177083333,1
738937.180555556,2
738937.184027778,2
738937.1875,2
738937.190972222,2
738937.194444444,2
738937.197916667,2
738937.201388889,1
738937.204861111,2
738937.208333333,2
738937.211805556,2
738937.215277778,2
738937.21875,2
738937.222222222,2
738937.225694444,2
738937.229166667,2
738937.232638889,2
738937.236111111,2
738937.239583333,2
738937.243055556,2
738937.246527778,2
738937.25,2
738937.253472222,2
738937.256944444,2
738937.260416667,2
738937.263888889,3
738937.267361111,2
738937.270833333,2
738937.274305556,3
738937.277777778,2
738937.28125,2
738937.284722222,2
738937.288194444,2
738937.291666667,2
738937.295138889,2
738937.298611111,2
738937.302083333,2
738937.305555556,2
738937.309027778,2
738937.3125,2
738937.315972222,2
738937.319444444,2
738937.322916667,2
738937.326388889,2
738937.329861111,2
738937.333333333,2
738937.336805556,2
738937.340277778,3
738937.34375,3
738937.347222222,3
738937.350694444,3
738937.354166667,3
738937.357638889,2
738937.361111111,2
738937.364583333,2
738937.368055556,2
738937.371527778,2
738937.375,2
738937.378472222,2
738937.381944444,2
738937.385416667,2
738937.388888889,2
738937.392361111,2
738937.395833333,2
738937.399305556,2
738937.402777778,2
738937.40625,2
738937.409722222,2
738937.413194444,2
738937.416666667,2
738937.420138889,2
738937.423611111,2
738937.427083333,2
738937.430555556,2
738937.434027778,2
738937.4375,2
738937.440972222,2
738937.444444444,1
738937.447916667,1
738937.451388889,1
738937.454861111,1
738937.458333333,2
738937.461805556,2
738937.465277778,2
